rank,feature,mean_abs_shap
600,Tp_Amp_III,0.00012542228810132126
601,T-_Amp_II,0.00012409172302522574
602,T-_Dur_II,0.00012306428428900844
603,Rp_PeakTime_aVF,0.00012303221564579102
604,Tp_PeakTime_III,0.00011951523967607277
605,Tp_Amp_aVF,0.00011709481104496532
606,T-_Dur_aVF,0.00011679918929098666
607,T-_Dur_V6,0.00011583950118666148
608,Pp_Amp_II,0.00010920997897061767
609,Pp_Amp_aVF,0.00010394273344196568
610,Rp_Amp_aVF,0.00010339051289250261
611,T-_Amp_V3,9.936673661094808e-05
612,T_Morph_aVF,9.819833180931231e-05
613,Tp_PeakTime_aVL,9.756937598258694e-05
614,Tp_Area_aVF,9.731842868688042e-05
615,P-_Dur_I,9.686352470242657e-05
616,T_Morph_V2,9.425620618567631e-05
617,Q_Dur_V2,9.409503075510556e-05
618,T-_Amp_V5,8.772939891214187e-05
619,P+_Dur_aVR,8.640580438452338e-05
620,Q_PeakTime_V2,8.606891820131585e-05
621,T-_Dur_V5,8.505943599468949e-05
622,T_Morph_II,8.436167413792743e-05
623,P-_Dur_V4,8.300687370780201e-05
624,T_Morph_aVR,8.256483018795688e-05
625,Tp_Dur_aVF,7.999050591190064e-05
626,T+_Amp_aVR,7.831522089921987e-05
627,Q_Area_V2,7.64665601385131e-05
628,Rp_Area_aVL,7.445074504491124e-05
629,Tp_Area_aVL,7.427749146814875e-05
